ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
2,Student_2,9.6,61,60.0,D,Pass,52.69
3,Student_3,7.6,65,80.2,C,Pass,65.51
4,Student_4,6.4,73,99.6,B,Pass,78.97
5,Student_5,2.4,68,79.7,C,Pass,65.18
6,Student_6,2.4,57,73.5,D,Pass,58.71
8,Student_8,8.8,70,67.9,D,Pass,59.56
9,Student_9,6.4,66,43.6,F,Pass,43.62
10,Student_10,7.4,72,73.7,D,Pass,63.33
12,Student_12,9.7,65,50.5,F,Pass,48.0
13,Student_13,8.5,55,70.3,D,Pass,57.2
14,Student_14,2.9,57,52.1,F,Pass,45.95
15,Student_15,2.6,74,72.1,D,Pass,62.15
16,Student_16,2.7,67,45.8,F,Pass,44.63
17,Student_17,3.7,74,67.0,D,Pass,59.25
18,Student_18,5.7,61,85.4,C,Pass,67.35
19,Student_19,4.9,64,60.9,D,Pass,53.27
26,Student_26,8.1,59,99.5,B,Pass,75.66
27,Student_27,2.8,65,95.6,B,Pass,74.03
28,Student_28,5.6,56,72.4,D,Pass,58.28
29,Student_29,6.3,66,90.5,B,Pass,71.74
30,Student_30,1.4,72,71.3,D,Pass,60.99
32,Student_32,2.5,70,45.3,F,Pass,45.05
33,Student_33,1.6,71,85.3,C,Pass,69.17
34,Student_34,9.5,56,47.7,F,Pass,44.05
35,Student_35,9.7,63,89.6,C,Pass,70.96
36,Student_36,8.3,64,86.9,C,Pass,69.39
37,Student_37,3.7,56,82.5,C,Pass,64.06
38,Student_38,1.9,58,42.2,F,Pass,40.1
41,Student_41,2.1,57,61.6,D,Pass,51.52
43,Student_43,1.3,72,96.2,B,Pass,75.91
45,Student_45,3.3,67,58.3,F,Pass,52.22
50,Student_50,2.7,67,95.2,B,Pass,74.28
53,Student_53,9.5,66,91.1,B,Pass,72.58
54,Student_54,9.1,63,52.5,F,Pass,48.62
56,Student_56,9.3,73,47.0,F,Pass,47.85
61,Student_61,4.5,52,88.4,C,Pass,66.71
66,Student_66,5.9,72,50.4,F,Pass,49.12
69,Student_69,1.7,64,98.5,B,Pass,75.35
71,Student_71,8.0,53,89.3,C,Pass,68.03
73,Student_73,1.0,71,91.7,B,Pass,72.92
74,Student_74,8.3,74,95.4,B,Pass,76.99
75,Student_75,7.4,62,69.2,D,Pass,58.13
76,Student_76,7.6,67,76.4,C,Pass,63.73
78,Student_78,1.7,65,50.5,F,Pass,46.8
82,Student_82,6.6,51,62.1,D,Pass,51.0
87,Student_87,7.6,62,73.0,D,Pass,60.44
88,Student_88,6.7,62,97.9,B,Pass,75.25
89,Student_89,9.0,67,65.9,D,Pass,57.64
99,Student_99,1.2,65,43.7,F,Pass,42.65
102,Student_102,6.7,59,43.5,F,Pass,41.85
104,Student_104,5.6,74,43.5,F,Pass,45.44
106,Student_106,3.2,69,99.0,B,Pass,77.13
107,Student_107,4.7,54,54.4,F,Pass,46.84
108,Student_108,7.8,50,48.5,F,Pass,42.77
111,Student_111,3.6,52,46.1,F,Pass,41.2
113,Student_113,9.4,63,43.7,F,Pass,43.38
116,Student_116,8.8,53,88.8,C,Pass,67.85
117,Student_117,8.2,67,76.9,C,Pass,64.12
119,Student_119,9.0,74,77.4,C,Pass,66.29
121,Student_121,8.3,50,65.6,D,Pass,53.1
123,Student_123,3.9,64,93.2,B,Pass,72.5
124,Student_124,2.0,58,67.0,D,Pass,55.0
125,Student_125,3.1,64,51.7,F,Pass,47.48
127,Student_127,8.4,73,64.8,D,Pass,58.39
128,Student_128,8.7,53,89.7,C,Pass,68.38
129,Student_129,1.1,61,84.0,C,Pass,65.82
133,Student_133,2.1,55,68.9,D,Pass,55.41
136,Student_136,3.9,73,85.6,C,Pass,70.19
137,Student_137,5.7,60,70.3,D,Pass,58.03
138,Student_138,7.3,62,72.1,D,Pass,59.85
140,Student_140,9.7,74,40.7,F,Pass,44.38
141,Student_141,9.7,56,70.3,D,Pass,57.63
142,Student_142,3.3,53,98.6,B,Pass,72.91
143,Student_143,5.5,57,88.1,C,Pass,67.93
144,Student_144,3.7,69,97.6,B,Pass,76.37
149,Student_149,1.5,59,90.7,B,Pass,69.39
155,Student_155,9.9,52,68.6,D,Pass,55.64
156,Student_156,3.2,55,62.6,D,Pass,51.79
157,Student_157,7.0,54,70.3,D,Pass,56.73
158,Student_158,7.9,54,67.6,D,Pass,55.24
160,Student_160,7.6,72,93.5,B,Pass,75.24
162,Student_162,6.7,58,87.2,C,Pass,67.82
164,Student_164,5.8,69,81.3,C,Pass,66.9
169,Student_169,1.4,67,94.1,B,Pass,73.42
170,Student_170,6.3,66,67.7,D,Pass,58.06
171,Student_171,7.1,73,78.2,C,Pass,66.23
172,Student_172,1.1,52,79.6,C,Pass,60.92
176,Student_176,2.6,62,44.0,F,Pass,42.29
178,Student_178,4.5,74,49.0,F,Pass,48.57
179,Student_179,9.4,58,84.2,C,Pass,66.43
180,Student_180,2.2,53,70.7,D,Pass,56.0
181,Student_181,4.1,63,80.8,C,Pass,64.84
184,Student_184,8.9,60,83.0,C,Pass,66.13
186,Student_186,6.9,52,44.3,F,Pass,40.61
189,Student_189,5.8,58,84.3,C,Pass,65.95
190,Student_190,3.2,52,61.2,D,Pass,50.2
191,Student_191,1.8,74,57.8,F,Pass,53.45
193,Student_193,9.1,61,86.5,C,Pass,68.52
195,Student_195,4.1,58,51.1,F,Pass,45.77
196,Student_196,4.1,64,50.4,F,Pass,46.85
198,Student_198,9.1,74,70.3,D,Pass,62.05
199,Student_199,9.0,54,85.9,C,Pass,66.39
200,Student_200,8.0,60,55.9,F,Pass,49.74
202,Student_202,1.8,73,44.9,F,Pass,45.46
203,Student_203,2.5,64,98.1,B,Pass,75.23
205,Student_205,6.5,57,86.2,C,Pass,66.94
206,Student_206,1.1,54,77.5,C,Pass,60.16
209,Student_209,1.0,67,47.3,F,Pass,45.28
210,Student_210,2.4,55,76.9,C,Pass,60.25
213,Student_213,6.9,62,71.8,D,Pass,59.61
215,Student_215,7.4,54,98.1,B,Pass,73.47
216,Student_216,3.1,62,87.9,C,Pass,68.71
217,Student_217,3.9,66,57.6,F,Pass,51.65
224,Student_224,4.3,52,47.7,F,Pass,42.27
229,Student_229,9.0,62,65.9,D,Pass,56.39
232,Student_232,5.5,55,96.6,B,Pass,72.53
