ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
11,Student_11,1.2,86,97.5,A,Pass,80.18
22,Student_22,2.3,94,95.6,A,Pass,81.2
52,Student_52,8.0,88,99.5,A,Pass,82.9
55,Student_55,6.4,80,95.8,A,Pass,78.44
59,Student_59,1.4,94,92.7,A,Pass,79.33
60,Student_60,3.9,83,92.1,A,Pass,76.59
86,Student_86,3.9,79,97.8,A,Pass,79.01
103,Student_103,3.8,79,99.7,A,Pass,80.14
115,Student_115,6.7,99,99.8,A,Pass,85.63
161,Student_161,4.3,98,97.3,A,Pass,83.52
167,Student_167,3.9,84,90.5,A,Pass,75.88
173,Student_173,5.6,81,93.7,A,Pass,77.31
188,Student_188,6.0,78,97.4,A,Pass,78.84
226,Student_226,3.2,83,95.7,A,Pass,78.65
236,Student_236,7.5,89,93.2,A,Pass,79.3
240,Student_240,2.6,90,91.7,A,Pass,77.91
242,Student_242,9.6,92,95.1,A,Pass,81.5
246,Student_246,9.4,85,90.5,A,Pass,76.96
252,Student_252,4.5,94,99.1,A,Pass,83.63
253,Student_253,8.7,100,96.2,A,Pass,84.03
261,Student_261,6.5,88,90.4,A,Pass,77.22
277,Student_277,8.2,90,99.5,A,Pass,83.43
294,Student_294,4.2,77,97.5,A,Pass,78.38
304,Student_304,6.7,99,93.2,A,Pass,81.67
342,Student_342,5.3,84,99.9,A,Pass,81.73
350,Student_350,6.6,81,90.4,A,Pass,75.48
366,Student_366,4.5,86,92.4,A,Pass,77.61
390,Student_390,8.3,78,94.4,A,Pass,77.39
410,Student_410,1.8,93,96.2,A,Pass,81.24
415,Student_415,6.7,97,98.9,A,Pass,84.59
432,Student_432,7.9,81,91.6,A,Pass,76.39
442,Student_442,9.9,100,91.0,A,Pass,81.08
461,Student_461,2.1,82,92.7,A,Pass,76.44
462,Student_462,6.8,82,92.8,A,Pass,77.2
463,Student_463,7.7,90,92.2,A,Pass,78.97
466,Student_466,4.4,82,99.1,A,Pass,80.62
479,Student_479,9.7,91,97.9,A,Pass,82.95
497,Student_497,6.3,99,99.0,A,Pass,85.09
510,Student_510,7.5,90,98.0,A,Pass,82.42
527,Student_527,4.7,78,91.5,A,Pass,75.11
561,Student_561,7.3,99,91.3,A,Pass,80.62
563,Student_563,2.2,100,90.2,A,Pass,79.45
574,Student_574,6.6,88,92.3,A,Pass,78.37
585,Student_585,6.7,82,91.9,A,Pass,76.64
593,Student_593,2.6,91,95.1,A,Pass,80.2
601,Student_601,2.5,94,97.8,A,Pass,82.55
621,Student_621,2.7,85,91.1,A,Pass,76.31
692,Student_692,4.8,99,95.9,A,Pass,83.01
708,Student_708,8.3,81,94.5,A,Pass,78.19
713,Student_713,5.2,96,97.3,A,Pass,83.16
732,Student_732,8.3,95,96.5,A,Pass,82.9
744,Student_744,5.5,77,94.1,A,Pass,76.53
770,Student_770,8.4,90,95.0,A,Pass,80.76
796,Student_796,8.8,75,99.3,A,Pass,79.65
813,Student_813,2.1,77,94.0,A,Pass,75.97
815,Student_815,8.8,75,97.4,A,Pass,78.51
820,Student_820,4.0,97,99.0,A,Pass,84.25
831,Student_831,3.0,99,90.0,A,Pass,79.2
839,Student_839,6.2,96,98.0,A,Pass,83.73
859,Student_859,6.1,77,97.8,A,Pass,78.84
860,Student_860,1.6,84,94.6,A,Pass,78.0
863,Student_863,5.7,91,92.2,A,Pass,78.92
873,Student_873,6.8,79,98.9,A,Pass,80.11
885,Student_885,8.2,91,91.9,A,Pass,79.12
886,Student_886,2.6,85,98.8,A,Pass,80.92
891,Student_891,7.5,93,97.4,A,Pass,82.81
894,Student_894,4.6,96,91.2,A,Pass,79.41
899,Student_899,1.1,77,93.0,A,Pass,75.22
915,Student_915,6.0,99,97.4,A,Pass,84.09
930,Student_930,3.3,98,90.8,A,Pass,79.47
941,Student_941,3.5,84,96.9,A,Pass,79.67
957,Student_957,5.7,91,95.8,A,Pass,81.08
959,Student_959,2.5,90,94.4,A,Pass,79.52
964,Student_964,4.5,95,98.7,A,Pass,83.64
969,Student_969,6.1,91,93.3,A,Pass,79.64
998,Student_998,2.2,99,90.4,A,Pass,79.32
